"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8749","@Smoke Place order using testData iphone 13 pro","Chrome","2025-11-18","passed","2025-11-18","","","",""
"","17244","Order Products","Chrome","2025-11-18","passed","2025-11-18","","","",""
"","5299","API for Login","Chrome","2025-11-18","passed","2025-11-18","","","",""
"","3378","Excel Write","Chrome","2025-11-18","failed","2025-11-18","","","",""
"","40601","Create a new User & Login","Chrome","2025-11-18","broken","2025-11-18","","","",""
"","11120","@Smoke Place order using testData ADIDAS ORIGINAL","Chrome","2025-11-18","passed","2025-11-18","","","",""
"","12792","Order Products","Chrome","2025-11-18","passed","2025-11-18","","","",""
"","7163","Order","Chrome","2025-11-18","passed","2025-11-18","","","",""
"","3387","check Order details 2","Chrome","2025-11-18","failed","2025-11-18","","","",""
"","8236","@Smoke Place order using testData ZARA COAT 3","Chrome","2025-11-18","passed","2025-11-18","","","",""
